rank,peak,all_time_peak,actualgross,adjustedgross_in_2022_dollars,artist,tour_title,years,shows,average_gross,ref
1,1,2.0,780000000,780000000,taylor swift,the eras tour ,20232024,56,13928571,1
2,1,72.0,579800000,579800000,beyonc,renaissance world tour,2023,56,10353571,3
3,14,25.0,411000000,560622615,madonna,sticky  sweet tour 4a,20082009,85,4835294,6
4,27,107.0,397300000,454751555,pink,beautiful trauma world tour,20182019,156,2546795,7
5,24,89.5,345675146,402844849,taylor swift,reputation stadium tour,2018,53,6522173,8
6,24,109.0,305158363,388978496,madonna,the mdna tour,2012,88,3467709,9
7,210,89.5,280000000,381932682,celine dion,taking chances world tour,20082009,131,2137405,11
7,,89.5,257600000,257600000,pink,summer carnival ,20232024,41,6282927,12
9,,89.5,256084556,312258401,beyonc,the formation world tour,2016,49,5226215,13
10,,89.5,250400000,309141878,taylor swift,the 1989 world tour,2015,85,2945882,14
11,,89.5,229100000b,283202896,beyonc,the mrs. carter show world tour,20132014,132,1735606,1516
12,,1417.0,227400000,295301479,lady gaga,the monster ball tour ,20092011,203,1118227,18
13,,89.5,204000000,251856802,katy perry,prismatic world tour,20142015,151,1350993,19
14,120,89.5,200000000,299676265,cher,living proof the farewell tour 21a,20022005,325,615385,20
15,2c,89.5,194000000,281617035,madonna,confessions tour,2006,60,3233333,5
16,,89.5,184000000,227452347,pink,the truth about love tour,20132014,142,1295775,22
17,,89.5,170000000,213568571,lady gaga,born this way ball,20122013,98,1734694,d
18,,89.5,169800000,207046755,madonna,rebel heart tour,20152016,82,2070732,4
19,,89.5,167700000e,204486106,adele,adele live 2016,20162017,121,1385950,25
20,,89.5,150000000,185423109,taylor swift,the red tour,20132014,86,1744186,26
